Time,Roll (radians),Pitch (radians),Yaw (radians),Heave,Sway,Surge
2023-10-30 16:40:21.685012,0.10471975803375244,0.0,0.0,0.0,0.0,0.0,Generated Data
2023-10-30 16:40:21.735043,0.10466808080673218,0.006578654050827026,0.0,0.0,0.0,0.0,Generated Data
2023-10-30 16:40:21.785071,0.10451311618089676,0.013150815851986408,0.0,0.0,0.0,0.0,Generated Data
2023-10-30 16:40:21.835100,0.10425500571727753,0.01970999874174595,0.0,0.0,0.0,0.0,Generated Data
2023-10-30 16:40:21.885130,0.10389401018619537,0.026249730959534645,0.0,0.0,0.0,0.0,Generated Data
2023-10-30 16:40:21.935159,0.10343047976493835,0.032763559371232986,0.0,0.0,0.0,0.0,Generated Data
2023-10-30 16:40:21.985189,0.10286488384008408,0.03924505040049553,0.0,0.0,0.0,0.0,Generated Data
2023-10-30 16:40:22.035219,0.10219776630401611,0.04568781331181526,0.0,0.0,0.0,0.0,Generated Data
2023-10-30 16:40:22.085247,0.10142979025840759,0.05208548903465271,0.0,0.0,0.0,0.0,Generated Data
2023-10-30 16:40:22.135275,0.10056172311306,0.05843175947666168,0.0,0.0,0.0,0.0,Generated Data
2023-10-30 16:40:22.185305,0.09959440678358078,0.06472036987543106,0.0,0.0,0.0,0.0,Generated Data
2023-10-30 16:40:22.235334,0.09852880239486694,0.07094510644674301,0.0,0.0,0.0,0.0,Generated Data
2023-10-30 16:40:22.285365,0.09736596792936325,0.07709982246160507,0.0,0.0,0.0,0.0,Generated Data
2023-10-30 16:40:22.335394,0.09610704332590103,0.08317846059799194,0.0,0.0,0.0,0.0,Generated Data
2023-10-30 16:40:22.385424,0.09475326538085938,0.08917500823736191,0.0,0.0,0.0,0.0,Generated Data
2023-10-30 16:40:22.435452,0.09330598264932632,0.09508354961872101,0.0,0.0,0.0,0.0,Generated Data
2023-10-30 16:40:22.485482,0.09176661819219589,0.10089825093746185,0.0,0.0,0.0,0.0,Generated Data
2023-10-30 16:40:22.535510,0.09013669192790985,0.10661338269710541,0.0,0.0,0.0,0.0,Generated Data
2023-10-30 16:40:22.585540,0.08841781318187714,0.1122233048081398,0.0,0.0,0.0,0.0,Generated Data
2023-10-30 16:40:22.635739,0.08661167323589325,0.11772246658802032,0.0,0.0,0.0,0.0,Generated Data
2023-10-30 16:40:22.685766,0.08472006022930145,0.12310545891523361,0.0,0.0,0.0,0.0,Generated Data
2023-10-30 16:40:22.735796,0.08274483680725098,0.12836694717407227,0.0,0.0,0.0,0.0,Generated Data
2023-10-30 16:40:22.785825,0.08068795502185822,0.13350176811218262,0.0,0.0,0.0,0.0,Generated Data
2023-10-30 16:40:22.835853,0.07855144888162613,0.13850483298301697,0.0,0.0,0.0,0.0,Generated Data
2023-10-30 16:40:22.885883,0.07633741945028305,0.14337120950222015,0.0,0.0,0.0,0.0,Generated Data
2023-10-30 16:40:22.935913,0.07404804974794388,0.14809609949588776,0.0,0.0,0.0,0.0,Generated Data
2023-10-30 16:40:22.985942,0.07168560475111008,0.1526748389005661,0.0,0.0,0.0,0.0,Generated Data
2023-10-30 16:40:23.035972,0.06925241649150848,0.15710289776325226,0.0,0.0,0.0,0.0,Generated Data
2023-10-30 16:40:23.086001,0.06675088405609131,0.16137591004371643,0.0,0.0,0.0,0.0,Generated Data
2023-10-30 16:40:23.135029,0.06418347358703613,0.16548967361450195,0.0,0.0,0.0,0.0,Generated Data
2023-10-30 16:40:23.185059,0.061552729457616806,0.1694401204586029,0.0,0.0,0.0,0.0,Generated Data
2023-10-30 16:40:23.235094,0.05886123329401016,0.1732233464717865,0.0,0.0,0.0,0.0,Generated Data
